pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_insol,pl_eqt,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist,sy_jmag,sy_hmag,sy_kmag
"Kepler-692 b","Kepler-692",2016,"Transit",21.81293494000,3.11000000,28.5040,639.00,0.11754000,4.3891000,5440.00,0.860000,0.900000,-0.0100,991.33600000,14.2040000,13.7760000,13.7020000
"Kepler-1622 b","Kepler-1622",2016,"Transit",10.81187370000,1.47000000,236.0050,922.00,0.00880000,2.6110000,6436.00,1.500000,1.310000,0.0400,796.47700000,12.4220000,12.1800000,12.1040000
"Kepler-1479 b","Kepler-1479",2016,"Transit",14.53261362000,1.83000000,98.5740,746.00,0.03289000,2.4079000,5796.00,0.980000,0.990000,-0.0200,728.66800000,12.6670000,12.3420000,12.2560000
"Kepler-1480 b","Kepler-1480",2016,"Transit",22.12679948000,1.67000000,16.3170,721.00,0.04361000,3.6860000,5156.00,0.810000,0.850000,0.0700,500.89200000,13.0800000,12.6400000,12.5840000
"Kepler-969 c","Kepler-969",2016,"Transit",1.68293460400,0.99000000,564.5810,1270.00,0.01462000,1.8737000,5214.00,0.820000,0.920000,0.2200,390.35400000,12.4130000,11.9760000,11.8970000
"Kepler-990 c","Kepler-990",2016,"Transit",0.53835430800,1.53000000,5272.4000,2386.00,0.01902000,1.4801000,5948.00,1.080000,1.050000,0.0100,802.16300000,13.3620000,13.0310000,12.9280000
"Kepler-1093 c","Kepler-1093",2016,"Transit",89.72229200000,1.96000000,18.1000,508.00,0.02637000,10.6780000,6166.00,1.200000,1.130000,-0.0100,1072.88000000,12.8070000,12.4910000,12.4840000
"Kepler-1531 b","Kepler-1531",2016,"Transit",1.13854337600,1.11000000,4457.2000,2537.00,0.00662000,2.0922000,6260.00,1.270000,1.160000,-0.0300,666.33400000,12.1420000,11.8750000,11.7720000
"Kepler-631 b","Kepler-631",2016,"Transit",17.97979059000,2.90000000,94.1370,828.00,0.04759000,5.6021000,6185.00,1.330000,1.240000,0.2300,761.96600000,12.5190000,12.2630000,12.2080000
"Kepler-1623 b","Kepler-1623",2016,"Transit",4.36128348000,1.31000000,243.0800,1000.00,0.01769000,2.0580000,5772.00,1.000000,1.000000,0.0400,837.48100000,13.7150000,13.3790000,13.2450000
"Kepler-1481 b","Kepler-1481",2016,"Transit",5.94220998000,1.23000000,71.9400,797.00,0.02726000,2.2737000,4908.00,0.750000,0.800000,0.0400,459.07600000,13.1810000,12.6960000,12.6030000
"Kepler-1483 b","Kepler-1483",2016,"Transit",9.50851560000,1.52000000,265.0180,1131.00,0.00979000,4.3810000,6337.00,1.400000,1.250000,0.0400,1273.78000000,13.3970000,13.1200000,13.0770000
"Kepler-636 b","Kepler-636",2016,"Transit",16.08066114700,4.45000000,67.5090,614.00,0.31974000,2.8707000,5203.00,0.800000,0.850000,-0.0200,310.30100000,12.1910000,11.6920000,11.5840000
"Kepler-705 b","Kepler-705",2016,"Transit",56.05605380000,2.11000000,0.7290,265.00,0.18510000,4.5950000,3722.00,0.510000,0.530000,0.0700,276.88100000,13.4460000,12.7780000,12.5360000
"Kepler-632 b","Kepler-632",2016,"Transit",30.99660733000,2.21000000,14.7200,500.00,0.06553000,2.7959000,5322.00,0.840000,0.910000,0.1100,349.00000000,11.9940000,11.5670000,11.4790000
"Kepler-545 b","Kepler-545",2016,"Transit",13.24934059000,2.69000000,101.1430,806.00,0.06476000,4.4634000,5882.00,1.070000,1.040000,0.0300,818.00100000,13.0740000,12.7760000,12.7080000
"Kepler-1486 b","Kepler-1486",2016,"Transit",54.64957590000,2.32000000,22.3720,538.00,0.04325000,8.4050000,5965.00,1.120000,1.080000,0.0600,1769.14000000,14.1980000,13.8620000,13.8960000
"Kepler-342 e","Kepler-342",2016,"Transit",1.64422461300,0.88000000,3111.3220,1897.00,0.00478000,2.7822000,6366.00,1.340000,1.260000,0.1200,781.61100000,12.2200000,11.9990000,11.9570000
"Kepler-582 b","Kepler-582",2016,"Transit",18.49235668000,3.68000000,25.0560,603.00,0.16789000,3.5297000,5564.00,0.910000,0.930000,0.0100,613.17900000,13.4670000,13.0340000,12.9920000
"Kepler-1409 b","Kepler-1409",2016,"Transit",0.76486492600,1.04000000,1552.1330,1733.00,0.01630000,1.1779000,5160.00,0.790000,0.830000,-0.0300,694.89000000,13.7750000,13.2960000,13.2480000
"Kepler-1444 b","Kepler-1444",2016,"Transit",33.42035034000,2.18000000,25.9420,581.00,0.03848000,5.0911000,5810.00,1.050000,1.030000,0.0600,319.67500000,11.1950000,10.9010000,10.8130000
"Kepler-581 b","Kepler-581",2016,"Transit",40.60698210000,2.63000000,12.3900,521.00,0.06964000,5.7190000,5772.00,1.000000,1.000000,0.0300,703.75800000,13.3220000,12.9460000,12.9320000
"Kepler-1516 b","Kepler-1516",2016,"Transit",7.25931979000,1.75000000,615.2530,967.00,0.02475000,6.1980000,5904.00,1.070000,1.040000,0.0300,1358.95000000,13.2330000,12.9470000,12.8150000
"Kepler-600 b","Kepler-600",2016,"Transit",23.67517607000,2.90000000,20.1820,528.00,0.10197000,4.6120000,5279.00,0.810000,0.840000,-0.0900,619.72300000,13.3870000,12.9600000,12.8120000
"Kepler-1537 b","Kepler-1537",2016,"Transit",1.44445379800,1.18000000,713.1680,1800.00,0.02216000,0.9748000,5079.00,0.770000,0.810000,-0.0800,517.29200000,13.1260000,12.6220000,12.5190000
"Kepler-1447 b","Kepler-1447",2016,"Transit",56.67472850000,2.90000000,10.3490,522.00,0.08831000,5.4220000,5722.00,0.950000,0.970000,-0.0300,890.29600000,13.5260000,13.1460000,13.1240000
"Kepler-1488 b","Kepler-1488",2016,"Transit",39.81899320000,1.86000000,73.3350,650.00,0.01962000,10.7980000,5820.00,1.310000,1.050000,0.0600,905.82500000,12.0120000,11.6940000,11.6380000
"Kepler-1448 b","Kepler-1448",2016,"Transit",12.27065865000,1.61000000,86.6450,811.00,0.03165000,3.1060000,5774.00,0.930000,0.950000,-0.1600,768.90300000,13.3800000,12.9480000,12.9320000
"Kepler-1493 b","Kepler-1493",2016,"Transit",15.02179830000,1.41000000,137.9100,874.00,0.01109000,4.5570000,5863.00,1.290000,1.060000,0.0600,555.05100000,11.9250000,11.6000000,11.5300000
"Kepler-1450 b","Kepler-1450",2016,"Transit",54.50941660000,1.71000000,3.0780,308.00,0.06222000,4.2220000,4524.00,0.680000,0.710000,-0.0200,505.82900000,13.6810000,13.0590000,12.9080000
"Kepler-1494 b","Kepler-1494",2016,"Transit",91.08048200000,3.07000000,9.1130,415.00,0.07386000,9.6500000,5659.00,0.940000,0.960000,0.0100,1285.48000000,14.0100000,13.7000000,13.5360000
"Kepler-1495 b","Kepler-1495",2016,"Transit",85.27325600000,2.94000000,9.1000,443.00,0.07678000,9.4620000,5831.00,1.040000,1.030000,0.0600,1355.54000000,14.1760000,13.8330000,13.8450000
"Kepler-1520 b","Kepler-1520",2016,"Transit",0.65355357200,5.77000000,1134.3860,1437.00,0.45959000,1.5399000,4677.00,0.710000,0.760000,0.0400,607.91700000,14.0210000,13.4330000,13.3190000
"Kepler-637 b","Kepler-637",2016,"Transit",23.20584623000,4.75000000,63.8050,1002.00,0.03479000,4.2998000,6096.00,2.560000,1.640000,0.3800,786.09100000,12.4590000,12.2270000,12.1820000
"Kepler-1607 b","Kepler-1607",2016,"Transit",13.64736760000,0.92000000,449.6320,913.00,0.00633000,7.7690000,6116.00,1.210000,1.140000,0.0500,1286.10000000,12.5920000,12.2710000,12.2180000
"Kepler-1496 b","Kepler-1496",2016,"Transit",64.65880170000,2.22000000,18.3830,535.00,0.02354000,7.5490000,6182.00,1.270000,1.180000,0.0500,1307.66000000,13.6110000,13.3390000,13.2250000
"Kepler-1065 c","Kepler-1065",2016,"Transit",2.37030743000,1.60000000,734.6190,1256.00,0.03170000,1.8450000,5635.00,0.930000,0.940000,-0.0100,1122.48000000,14.1780000,13.8020000,13.6710000
"Kepler-1067 b","Kepler-1067",2016,"Transit",0.76212926100,0.80000000,2761.7570,1872.00,0.00712000,1.0760000,5592.00,0.930000,0.950000,0.0300,667.69300000,13.1050000,12.7780000,12.6560000
"Kepler-578 b","Kepler-578",2016,"Transit",1.61688369600,2.00000000,496.8980,1774.00,0.04599000,1.5845000,5334.00,0.830000,0.870000,-0.0300,541.43200000,13.0870000,12.6530000,12.5610000
"Kepler-689 b","Kepler-689",2016,"Transit",22.36656079000,2.89000000,35.3370,536.00,0.09868000,5.1510000,5518.00,0.880000,0.910000,-0.0100,1131.73000000,14.2360000,13.8490000,13.7140000
"Kepler-1460 b","Kepler-1460",2016,"Transit",29.96332470000,1.96000000,5.4690,391.00,0.08932000,2.6320000,4422.00,0.670000,0.700000,-0.0200,553.21800000,14.0930000,13.4490000,13.3590000
"Kepler-1498 b","Kepler-1498",2016,"Transit",48.05140500000,1.33000000,9.8600,564.00,0.02745000,7.6380000,5256.00,0.810000,0.860000,-0.0100,740.00000000,13.7030000,13.2330000,13.2380000
