toi,toipfx,tfopwg_disp,pl_pnum,st_tmag,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad
"1752.01","1752","PC",1,12.7463000,253.4614860,60.7096200,0.9351891,0.7694649,1150.2871156,1.8032935,194.1728744,952.0656350,3652.0000000,0.5269870
"1752.02","1752","PC",2,12.7463000,253.4614860,60.7096200,32.7135406,5.0754670,1469.2598788,2.4202837,1.6972705,291.1102616,3652.0000000,0.5269870
"1754.01","1754","PC",1,11.7229000,265.5943100,57.4477710,16.2143217,3.8395249,1553.7064339,2.8235075,6.3061639,404.1671972,3849.0000000,0.5932950
"1756.01","1756","PC",1,12.0948000,306.3287740,77.6364120,2.7830114,1.7406295,916.2640701,1.7104603,55.5823764,696.3924073,3756.0000000,0.5626070
"1757.01","1757","PC",1,11.2906000,255.4007140,79.0671260,2.1256870,1.4649664,570.6858828,1.6780073,209.8814988,970.7631647,4428.0000000,0.7071590
"1761.01","1761","PC",1,10.5951000,281.5776450,75.3033670,11.5922513,3.4868947,373.1625573,2.4230886,174.3466841,926.7725725,6311.0000000,1.1940700
"1762.01","1762","PC",1,10.5949000,17.9150040,79.1654920,24.1412290,3.0697650,1612.7795426,4.0770689,38.9416122,637.1229240,6156.0000000,0.9484200
"1763.01","1763","PC",1,12.8123000,259.5641640,74.3027210,3.7978720,1.0636976,1501.0825028,1.9296055,22.3746156,554.7006125,3520.0000000,0.4728690
"1765.01","1765","PC",1,11.7176000,234.2417910,67.4525790,3.4939580,1.9610000,3650.0000000,5.6597100,156.2410000,984.0000000,5203.4000000,0.9000000
"1782.03","1782","PC",3,11.3069000,213.0787720,74.4117910,18.7559765,2.5550705,1506.8183310,2.9737536,9.5841474,448.7537809,4336.0000000,0.6686930
"119.01","119","PC",1,9.2789000,99.2384210,-58.0161530,5.5411113,2.4142561,597.3296582,1.9687561,364.2204844,1217.0522727,5332.0000000,0.8200000
"119.02","119","PC",2,9.2789000,99.2384210,-58.0161530,10.6917300,3.0528284,498.5173154,1.8105614,316.3141491,1174.8915883,5332.0000000,0.8200000
"133.01","133","PC",1,9.9762000,354.3973740,-58.9550780,8.1995368,2.1168277,903.3694431,1.9226211,26.2353114,577.2199136,4028.0000000,0.6505330
"155.01","155","PC",1,9.0284000,321.1149800,-37.8501810,5.4499753,4.3190000,973.0000000,5.2875900,839.2030000,1499.0000000,6220.5000000,1.7900000
"161.01","161","PC",1,11.4964000,46.6865530,-82.3163710,2.7684331,4.2230000,3234.0971112,4.6193800,1330.1600000,,5388.0000000,0.9800000
"168.01","168","PC",1,11.5147000,311.6435900,-37.9043990,2.3144600,1.3470000,1190.0000000,3.4066800,176.6920000,1015.0000000,4801.5000000,0.7300000
"204.01","204","PC",1,9.2182000,12.9760100,-59.3436470,43.8297863,4.3011392,647.2685163,2.8243863,15.6569489,507.3369958,5605.0000000,1.0365400
"205.01","205","PC",1,9.4525000,7.9754640,-56.9650810,4.2529857,3.0961227,261.1393852,2.1697982,1740.9224316,1799.5461760,6222.5000000,1.4500000
"208.01","208","PC",1,10.3539000,53.2815800,-72.7440510,22.4586196,7.1989719,445.0003089,2.1229458,33.8973151,615.4050768,5493.0000000,0.9783810
"210.01","210","PC",1,12.5395000,88.9618400,-73.9852880,9.0105414,1.8443264,4125.0713000,2.1513682,3.3568205,345.2246743,3275.0000000,0.3301460
"213.01","213","PC",1,9.7806000,38.8872910,-71.6242470,23.5199045,3.2220000,1243.0000000,2.3050200,10.4530000,500.0000000,4566.4000000,0.6700000
"213.02","213","PC",2,9.7806000,38.8872910,-71.6242470,7.7565534,2.4341043,286.2558604,1.1359985,37.2050274,629.8978948,4566.4000000,0.6720620
"214.01","214","PC",1,8.0089000,99.4587410,-70.9313270,18.5537012,3.4380000,448.0000000,1.5760600,25.0891000,623.0000000,5346.2000000,0.8000000
"214.02","214","PC",2,8.0089000,99.4587410,-70.9313270,9.6959610,2.7720000,122.0000000,0.8085520,66.2914000,794.0000000,5346.2000000,0.8000000
"215.01","215","PC",1,10.5011000,7.3180080,-63.7906230,26.2851404,2.7692779,975.2076991,3.0828630,29.1144876,592.4436342,5821.0000000,0.9644500
"218.01","218","PC",1,13.3292000,58.4220010,-68.7386280,0.4384814,0.5192935,486.4774785,0.6505972,155.7120176,900.9491556,3146.0000000,0.2845380
"233.01","233","PC",1,11.3018000,343.7086120,-18.9124450,11.6700285,2.0534143,2783.7905216,2.0205499,4.0210338,361.1637726,3644.0000000,0.3802720
"233.02","233","PC",2,11.3018000,343.7086120,-18.9124450,7.2011383,2.1444681,1662.8398306,1.7056002,7.6541813,424.2232195,3644.0000000,0.3802720
"240.01","240","PC",1,10.7011000,14.7549100,-44.1608690,19.4723016,4.2893299,1766.1828394,3.6117414,9.9883786,453.4125095,4333.0000000,0.7029450
"248.01","248","PC",1,8.4642000,34.6842830,-54.8597250,5.9910569,3.4644509,411.3820085,2.3197704,283.6891271,1046.7197587,5711.7000000,1.1214800
"249.01","249","PC",1,11.2738000,14.0800260,-38.9492340,6.6153188,2.3345844,1341.3720224,2.2695325,25.0078015,570.3462995,4157.0000000,0.6034180
"253.01","253","PC",1,9.3626000,14.3185030,-51.5852510,3.5104148,2.0000000,308.8285985,1.3286540,64.7098860,723.3731892,4020.0000000,0.6393710
"279.01","279","PC",1,10.5012000,41.1884500,-32.2110430,11.4707838,3.6980000,1575.0000000,1.8659900,30.2417000,653.0000000,4140.0000000,0.7300000
"280.01","280","PC",1,9.9955000,24.1683880,-36.4140110,10.1843061,1.7293131,839.9896915,2.4497061,59.4579710,708.2266596,5454.0000000,0.7826810
"281.01","281","PC",1,10.5041000,66.1362520,-60.1299320,5.5765364,2.3140477,642.4206976,4.5613031,661.1949258,1293.3084871,6002.1800000,1.5203100
"314.01","314","PC",1,11.1741000,354.6682840,-32.8607450,10.1810800,3.6740000,1190.0000000,2.6601900,57.0026000,765.0000000,4822.0000000,0.7800000
