toi,toipfx,st_tmag,ra,dec,pl_rade,pl_orbper,pl_insol,pl_eqt,pl_trandep,predicted_valley_radius,valley_distance_dex,novelty_raw,priority_score,science_case
6678.01,6678,8.8688,283.536275,-36.65686,2.12571,3.4268387,94.0962,867.0,844.0,1.7506262909796435,0.0843105691676706,0.5237154226422754,72.5215101628128,temperate_sub_neptune
5112.01,5112,10.1857,110.304466,17.588565,2.17742,15.532806,31.4267,659.0,1236.0,1.5550970009152283,0.1461847238646316,0.7279256539915926,72.35779776549226,temperate_sub_neptune
1027.01,1027,10.2103,167.133275,-29.653135,2.87648,3.2834565,161.092,992.0,1558.0,1.855286089346729,0.19045047043276542,0.7593961817824919,69.24470087958755,temperate_sub_neptune
5807.01,5807,6.8806,308.567224,43.36069,2.12067,14.2423724,184.841,1027.0,225.0,1.883045966933361,0.0516121710042412,0.6788973063617446,67.71301245422295,temperate_sub_neptune
3353.02,3353,8.7843,106.529815,-75.819559,2.36114,8.8176457,85.6924,847.0,645.0,1.7330279337170738,0.13431617571275306,0.5259065987442993,67.45907790238678,temperate_sub_neptune
279.01,279,10.5012,41.18845,-32.211043,1.86599,11.4707838,30.2417,653.0,1575.0,1.5486552165595906,0.08095457223025226,0.5492289579002302,66.92092168636302,temperate_sub_neptune
133.01,133,9.9762,354.397374,-58.955078,1.9226211,8.1995368,26.2353114,577.2199136,903.3694431,1.525067912626821,0.10060452057908995,0.46758244274936656,62.37884884980568,temperate_sub_neptune
790.02,790,8.9914,123.39778,-64.090901,2.4013155,41.0175174,62.4617543,717.0068321,229.2846536,1.6748448154155495,0.1564746509532429,0.8352243402529487,62.21975115984196,temperate_sub_neptune
1466.01,1466,11.0278,307.396532,61.550725,2.40733,1.8718991,167.099,1001.0,920.0,1.8626361316018605,0.11140760483302176,0.7563881191348651,62.2181805324673,temperate_sub_neptune
2273.01,2273,8.75584,81.240221,79.74934,2.1305645,46.5710978,27.1915284,582.409103,328.3531481,1.5309755382847816,0.143526434765392,0.5679569051025802,62.02463771392359,temperate_sub_neptune
4460.01,4460,10.3859,19.91003,85.13439,3.15161,28.6648749,117.442,917.0,1025.0,1.7930329828086926,0.24494419134309509,1.0750815231220971,61.48913738937433,temperate_sub_neptune
6068.01,6068,9.67596,88.202883,70.6741,2.81276,10.66839,96.346,872.0,460.0,1.7550991913896212,0.20483101124310096,0.6061653966111191,59.409189012803445,temperate_sub_neptune
4568.01,4568,6.9608,238.702259,-65.901121,2.26316,14.0063765,19.2603,583.0,300.0,1.4750050889122188,0.18592173994611372,0.603905267580948,59.29930803050137,temperate_sub_neptune
4417.01,4417,9.3456,244.467204,-54.166478,2.88855,5.2574854,69.4717,804.0,1250.0,1.6941948112475411,0.23171654215126863,0.496411893926041,59.238388728462745,temperate_sub_neptune
7665.01,7665,9.7907,124.659703,-40.618748,2.0330996,24.303103,22.9104715,609.3814762,941.9930047,1.502911260857034,0.13122531641571633,0.43671546695699376,59.029399383940486,temperate_sub_neptune
1027.03,1027,10.2103,167.133275,-29.653135,2.52314,5.0113292,17.1793,567.0,1210.0,1.4569030809007746,0.23851068692981908,0.5954080456135938,58.81612761114123,temperate_sub_neptune
1747.01,1747,10.4302,270.80605,60.675192,2.08088,2.7546548,71.0366,808.0,394.0,1.6982754583817126,0.0882389023777094,0.5734165040380291,58.63982978764003,temperate_sub_neptune
4513.01,4513,9.96064,18.090518,13.75508,2.22799,9.7607632,30.3621,653.0,790.0,1.5493199013669297,0.15777213771584292,0.4730487294912562,58.342013949404844,temperate_sub_neptune
7580.02,7580,11.1773,89.900121,-30.133045,2.2663493,5.9284809,146.5715284,969.0145629,1132.9636689,1.836455425745454,0.09134645445617556,0.583667714895035,57.574700447895665,temperate_sub_neptune
2050.01,2050,9.70362,323.908297,65.437536,2.03572,13.5970194,41.8338,708.0,604.0,1.6038869739990387,0.1035442831297381,0.4303891748256067,57.46156838385219,temperate_sub_neptune
1735.01,1735,8.3412,313.339157,64.229166,2.37414,10.3857602,110.973,904.0,380.0,1.7820951928504265,0.1245754264589064,0.4423897826378342,57.07329447887383,temperate_sub_neptune
2133.01,2133,10.8571,261.243831,32.798397,2.4536347,3.8266587,81.1071602,765.3931102,1181.8154296,1.7227658923139477,0.15358364001295485,0.5639909858525769,57.07071212427122,temperate_sub_neptune
2411.02,2411,10.4238,20.922457,-8.701794,2.6431243,13.0512115,25.2271165,624.3599585,1504.0309564,1.5186273923348368,0.24066635824733587,0.5523873289382566,55.2974491210407,temperate_sub_neptune
4574.01,4574,11.7495,312.065404,24.484549,2.01326,0.768988,70.4453,807.0,870.0,1.6967430931907523,0.07428377492418967,0.9877812096391295,54.88799908609582,temperate_sub_neptune
1664.01,1664,9.17708,276.937885,55.755753,2.5354,11.835079,52.6622,750.0,336.0,1.6442595603611918,0.18807611029753002,0.5123647700426546,54.73150539468323,temperate_sub_neptune
