toi,toipfx,st_tmag,ra,dec,pl_rade,pl_orbper,pl_insol,pl_eqt,pl_trandep,predicted_valley_radius,valley_distance_dex,novelty_raw,priority_score,science_case
7466.01,7466,9.809,91.29081,6.447685,2.0757294,13.62285,465.348816,1293.9359912,804.4319022,2.080489296736663,0.000994749286199803,0.7261269370072029,80.65208830551155,radius_valley_probe
1783.01,1783,9.2742,287.681017,64.153662,2.2822776,1.4198659,1263.1832531,1520.4997021,465.2106205,2.3174071739233213,0.006633879278229893,0.697350926759924,76.87669823508726,radius_valley_probe
426.01,426,9.59689,79.102193,-15.510242,2.1611735,1.3205037,1677.1571947,1632.1617353,469.4537481,2.3894477904306046,0.04360791195842861,0.6406880092426659,72.39305507699048,radius_valley_probe
494.01,494,10.0854,124.695407,-6.785921,1.96356,1.7018818,400.827,1246.0,570.0,2.0472220933652636,0.01812078332180822,0.6485507042250606,71.67099261168323,radius_valley_probe
119.02,119,9.2789,99.238421,-58.016153,1.8105614,10.69173,316.3141491,1174.8915883,498.5173154,1.995532262818045,0.04224549638852726,0.5763175056395691,71.19030468621004,radius_valley_probe
2482.01,2482,9.6254,71.518246,-15.343431,1.58293,14.9315582,41.9664,709.0,590.0,1.6044352351032358,0.005860480975728666,0.5430871117498268,70.91601933069708,radius_valley_probe
119.01,119,9.2789,99.238421,-58.016153,1.9687561,5.5411113,364.2204844,1217.0522727,597.3296582,2.026157001419681,0.012481177876448035,0.4919031477051333,68.40025510101364,radius_valley_probe
6254.01,6254,10.4564,14.322777,37.02898,2.4339573,1.5361137,876.5741465,1387.7681435,543.7767369,2.227746002971879,0.03844728181053847,0.652672900674532,66.20037886204602,radius_valley_probe
6018.01,6018,10.3337,9.347123,40.905168,1.902342,2.3322524,267.3379607,1031.2997377,571.3138896,1.959605859423694,0.012880132984193271,0.557074920875463,65.56770140371137,radius_valley_probe
1741.01,1741,10.5783,247.043455,63.499098,1.36492,10.9406641,10.665,503.0,440.0,1.383791058935326,0.005963322702875251,0.6684193606612465,65.14973264673635,radius_valley_probe
1727.01,1727,9.75149,93.558549,53.135925,2.1988321,1.8308782,990.6913333,1430.8837135,464.5713657,2.2573851717821345,0.01141359948545806,0.5013027668320525,64.99563980838849,radius_valley_probe
2673.01,2673,8.8448,130.932185,-26.980824,2.2474,1.9126596,943.042,1543.0,372.0,2.2454001448539,0.00038663020117368774,0.48393037307758835,64.70342985161867,radius_valley_probe
214.01,214,8.0089,99.458741,-70.931327,1.57606,18.5537012,25.0891,623.0,448.0,1.5177279209905161,0.016378823161394634,0.4517693827235453,64.16518762198936,radius_valley_probe
205.01,205,9.4525,7.975464,-56.965081,2.1697982,4.2529857,1740.9224316,1799.546176,261.1393852,2.3990964222806737,0.04362835849863933,0.6042721111612076,63.371436588003235,radius_valley_probe
786.01,786,9.8192,100.104215,-63.339108,2.30678,12.6693786,562.492,1356.0,321.0,2.123526537672469,0.035948484650252355,0.5696484226613636,63.11238872200491,radius_valley_probe
4643.01,4643,10.6127,32.217966,4.306928,1.4655752,5.0256637,23.1770314,559.6083706,650.1415697,1.5047899795288384,0.011467783171351165,0.5308012682432849,61.8389599259219,radius_valley_probe
5630.01,5630,10.3331,236.453853,40.374862,2.0774,3.2220038,937.884,1541.0,536.0,2.244070558719247,0.03351638072741919,0.5124667843624546,61.62713641125196,radius_valley_probe
6095.01,6095,10.0956,100.766731,-44.251859,1.86733,2.1613171,329.608,1187.0,529.0,2.0044242154448844,0.030768566294678668,0.48066499026769005,60.75766951705213,radius_valley_probe
7537.01,7537,11.3301,94.257682,-43.366184,1.7330574,0.9072056,154.969981,982.9093351,780.190035,1.8475393316511477,0.027780745645472615,0.7680652086841417,60.56486584390037,radius_valley_probe
4495.02,4495,9.00568,286.362495,37.02599,2.18392,2.5693728,1001.28,1567.0,290.0,2.2599785026164962,0.014867582549452196,0.4829029272420134,59.67974435787675,radius_valley_probe
4363.01,4363,11.2473,37.110555,-12.549363,1.8325534,2.118659,144.785351,884.7099373,664.8120556,1.8340252467451075,0.0003486710721501418,0.6295032451654714,58.787638518651775,radius_valley_probe
7552.01,7552,11.1392,83.325746,-53.90563,1.6422984,13.1742812,84.542643,844.3394709,612.7315779,1.7305015858585886,0.022719931850057162,0.6171147701311306,58.06789492235814,radius_valley_probe
3485.02,3485,9.6181,201.749736,-73.594247,1.49811,6.0379203,56.3052,763.0,469.0,1.6561803503758834,0.04356392470766218,0.43169890226783325,58.02108525731337,radius_valley_probe
5709.01,5709,11.1501,164.648973,14.623639,1.4978948,3.3810227,30.41073,598.9305429,797.2617518,1.5495877035790164,0.014734848366760839,0.5594691377052909,57.641944638943755,radius_valley_probe
6099.01,6099,9.4499,135.335989,-20.97341,1.80945,5.2887576,63.339,785.0,598.0,1.6773693850462037,0.03291787476581029,0.3951587901489881,56.79319149226759,radius_valley_probe
