bin_label,bin_index,n_planets,log_insol_low,log_insol_high,log_insol_median,valley_radius,left_peak_radius,right_peak_radius,sample_size
flux_1,1,579,-0.28066871301627333,1.290034611362518,0.9644246401792027,1.3735654309116865,1.2939841634365545,2.447968726321287,569
flux_2,2,579,1.290034611362518,1.7315807077004557,1.5229004594615827,1.5268597134774444,1.2356616500796018,2.5704754352692567,567
flux_3,3,579,1.7315807077004557,2.100477382205119,1.9031442704095387,1.7629650985643595,1.5945947494918273,2.3124037969750777,561
flux_4,4,579,2.100477382205119,2.4831278000387664,2.2876382790873966,1.8713891434812366,1.4859942891369484,2.454618848965246,562
flux_5,5,580,2.4831278000387664,3.4745047263340227,2.8073130781960245,2.160770709101828,1.58166946710141,2.528973393746076,543
