toi,toipfx,st_tmag,ra,dec,pl_rade,pl_orbper,pl_insol,pl_eqt,pl_trandep,predicted_valley_radius,valley_distance_dex,novelty_raw,priority_score,science_case
7466.01,7466,9.809,91.29081,6.447685,2.0757294,13.62285,465.348816,1293.9359912,804.4319022,2.080489296736663,0.000994749286199803,0.7261269370072029,80.65208830551155,radius_valley_probe
1783.01,1783,9.2742,287.681017,64.153662,2.2822776,1.4198659,1263.1832531,1520.4997021,465.2106205,2.3174071739233213,0.006633879278229893,0.697350926759924,76.87669823508726,radius_valley_probe
7052.01,7052,8.9588,268.95853,33.419623,1.71911,2.8862017,15.4038,551.0,412.0,1.4398393430639531,0.07698963028030101,0.8983633836255102,76.05403864031814,general_demographic_gain
4324.01,4324,9.75311,145.646473,-19.235699,1.1306823,6.2509468,8.76241,438.8091174,770.1195597,1.354735063433589,0.07851377775615329,0.6243616013208682,74.14631605997837,general_demographic_gain
6678.01,6678,8.8688,283.536275,-36.65686,2.12571,3.4268387,94.0962,867.0,844.0,1.7506262909796435,0.0843105691676706,0.5237154226422754,72.5215101628128,temperate_sub_neptune
426.01,426,9.59689,79.102193,-15.510242,2.1611735,1.3205037,1677.1571947,1632.1617353,469.4537481,2.3894477904306046,0.04360791195842861,0.6406880092426659,72.39305507699048,radius_valley_probe
5112.01,5112,10.1857,110.304466,17.588565,2.17742,15.532806,31.4267,659.0,1236.0,1.5550970009152283,0.1461847238646316,0.7279256539915926,72.35779776549226,temperate_sub_neptune
494.01,494,10.0854,124.695407,-6.785921,1.96356,1.7018818,400.827,1246.0,570.0,2.0472220933652636,0.01812078332180822,0.6485507042250606,71.67099261168323,radius_valley_probe
4625.01,4625,10.5774,65.653481,25.699878,2.301946,2.191342,243.7119088,1007.7178174,1062.791258,1.9401218263827047,0.0742661300440361,0.7217217318401399,71.4575388896185,general_demographic_gain
119.02,119,9.2789,99.238421,-58.016153,1.8105614,10.69173,316.3141491,1174.8915883,498.5173154,1.995532262818045,0.04224549638852726,0.5763175056395691,71.19030468621004,radius_valley_probe
2482.01,2482,9.6254,71.518246,-15.343431,1.58293,14.9315582,41.9664,709.0,590.0,1.6044352351032358,0.005860480975728666,0.5430871117498268,70.91601933069708,radius_valley_probe
6543.01,6543,9.2889,183.61147,-58.058789,3.54892,15.5523703,861.828,1509.0,723.0,2.2236680030841143,0.2030262626190853,0.9437767679949636,70.79141001228544,general_demographic_gain
5392.01,5392,8.1319,212.621349,72.589757,1.66838,17.5313321,468.87,1296.0,306.0,2.0821837323586876,0.09622407408453768,0.7662343363471785,70.51479256160026,general_demographic_gain
5088.01,5088,9.3422,112.891681,12.034442,3.76664,10.3883213,1120.27,1611.0,822.0,2.2875521452386947,0.21658311141507636,0.9320433882330306,69.95677004093986,general_demographic_gain
1839.01,1839,10.2173,196.833111,5.852046,2.6855348,1.4238067,921.846663,1405.3497526,721.0458571,2.239894508661326,0.07880321943448937,0.6419927939590621,69.8672350846742,general_demographic_gain
5955.01,5955,10.3224,355.467833,14.106803,1.6802901,0.5902387,517.0065166,1216.1685093,518.7240999,2.104276554080885,0.09771854768651561,0.9518054475562918,69.53413334093155,ultra_short_period_rocky
1027.01,1027,10.2103,167.133275,-29.653135,2.87648,3.2834565,161.092,992.0,1558.0,1.855286089346729,0.19045047043276542,0.7593961817824919,69.24470087958755,temperate_sub_neptune
2465.01,2465,10.2994,76.737031,-18.904621,3.1563691,3.759205,685.837258,1305.1938483,892.1135724,2.169485350762937,0.16283106116108909,0.815263646201027,68.79140092312032,general_demographic_gain
5377.01,5377,9.3672,131.135061,59.406708,2.68559,4.4626933,1155.12,,300.0,2.295132877244602,0.06823187693436561,0.7715794474988047,68.70880691777289,general_demographic_gain
7039.01,7039,10.0679,192.339004,-70.916554,3.01837,3.3206355,1683.48,1784.0,667.0,2.390419004825977,0.10129844273010702,0.6082433708002346,68.59161046856336,general_demographic_gain
4340.01,4340,10.0116,175.66163,-40.060512,3.45609,2.6680587,1634.14,1771.0,580.0,2.3827520697610143,0.16150618794583604,0.8590492386224964,68.40176511373214,general_demographic_gain
119.01,119,9.2789,99.238421,-58.016153,1.9687561,5.5411113,364.2204844,1217.0522727,597.3296582,2.026157001419681,0.012481177876448035,0.4919031477051333,68.40025510101364,radius_valley_probe
5951.01,5951,8.80558,344.175427,43.887339,3.27956,3.1728284,932.329,1539.0,360.0,2.24263132243463,0.1650576972149333,0.8552393067593561,68.30618144102408,general_demographic_gain
5807.01,5807,6.8806,308.567224,43.36069,2.12067,14.2423724,184.841,1027.0,225.0,1.883045966933361,0.0516121710042412,0.6788973063617446,67.71301245422295,temperate_sub_neptune
3353.02,3353,8.7843,106.529815,-75.819559,2.36114,8.8176457,85.6924,847.0,645.0,1.7330279337170738,0.13431617571275306,0.5259065987442993,67.45907790238678,temperate_sub_neptune
279.01,279,10.5012,41.18845,-32.211043,1.86599,11.4707838,30.2417,653.0,1575.0,1.5486552165595906,0.08095457223025226,0.5492289579002302,66.92092168636302,temperate_sub_neptune
7038.01,7038,8.9498,246.057741,-32.143789,3.12511,8.6000492,256.415,1114.0,639.0,1.9507972312060056,0.20465317805711986,0.6621678156786984,66.5799027512064,general_demographic_gain
6058.01,6058,9.5951,81.402245,37.118266,3.89751,2.3673691,1161.29,1626.0,592.0,2.296453698828194,0.22972954456614259,1.3288618528713978,66.32639589960012,general_demographic_gain
6254.01,6254,10.4564,14.322777,37.02898,2.4339573,1.5361137,876.5741465,1387.7681435,543.7767369,2.227746002971879,0.03844728181053847,0.652672900674532,66.20037886204602,radius_valley_probe
6098.01,6098,8.7699,118.936795,-48.041772,2.11652,2.7297541,200.856,1048.0,362.0,1.900019883982618,0.04686423075257329,0.5189783134512421,65.74108195982706,general_demographic_gain
6018.01,6018,10.3337,9.347123,40.905168,1.902342,2.3322524,267.3379607,1031.2997377,571.3138896,1.959605859423694,0.012880132984193271,0.557074920875463,65.56770140371137,radius_valley_probe
1741.01,1741,10.5783,247.043455,63.499098,1.36492,10.9406641,10.665,503.0,440.0,1.383791058935326,0.005963322702875251,0.6684193606612465,65.14973264673635,radius_valley_probe
1727.01,1727,9.75149,93.558549,53.135925,2.1988321,1.8308782,990.6913333,1430.8837135,464.5713657,2.2573851717821345,0.01141359948545806,0.5013027668320525,64.99563980838849,radius_valley_probe
4299.01,4299,10.2696,182.100526,-55.047088,3.55715,6.6019866,1325.35,1680.0,600.0,2.329461918341846,0.1838465640899637,0.9765718186218049,64.92612598082309,general_demographic_gain
2673.01,2673,8.8448,130.932185,-26.980824,2.2474,1.9126596,943.042,1543.0,372.0,2.2454001448539,0.00038663020117368774,0.48393037307758835,64.70342985161867,radius_valley_probe
214.01,214,8.0089,99.458741,-70.931327,1.57606,18.5537012,25.0891,623.0,448.0,1.5177279209905161,0.016378823161394634,0.4517693827235453,64.16518762198936,radius_valley_probe
5961.01,5961,9.0392,349.216044,5.695887,1.3134056,1.617487,197.2074933,955.7638559,342.1852102,1.896261995380344,0.15949947739726666,0.6627034494276381,64.12551788993228,general_demographic_gain
686.01,686,9.9362,111.601066,-54.452065,3.3397496,3.5137609,1686.8366029,1634.511587,333.5976712,2.390933274342171,0.14514645042094398,0.7727404381754305,63.728321022265746,general_demographic_gain
5125.01,5125,9.02342,87.9525,15.882044,2.96154,5.909621,468.76,1296.0,435.0,2.0821309710733877,0.15300955860220056,0.5634432136889803,63.644658750646556,general_demographic_gain
205.01,205,9.4525,7.975464,-56.965081,2.1697982,4.2529857,1740.9224316,1799.546176,261.1393852,2.3990964222806737,0.04362835849863933,0.6042721111612076,63.371436588003235,radius_valley_probe
786.01,786,9.8192,100.104215,-63.339108,2.30678,12.6693786,562.492,1356.0,321.0,2.123526537672469,0.035948484650252355,0.5696484226613636,63.11238872200491,radius_valley_probe
5380.01,5380,10.1684,112.761149,73.128784,3.13069,3.7723119,796.305,1479.0,470.0,2.2047594566126385,0.15227885198764657,0.6635785575081673,63.000898609131404,general_demographic_gain
