toi,toipfx,tfopwg_disp,pl_pnum,st_tmag,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad,log_period,log_radius,log_insol,log_teff
1116.01,1116,PC,1,9.5268,27.699972,-75.848774,5.0100708,2.0644756,409.4812214,2.3107394,210.6631712,971.6657708,5551.0,0.906282,0.6998438631590739,0.3637509694844421,2.323588617512979,3.7443712273318606
1117.01,1117,PC,1,10.4055,273.602061,-66.419974,2.2281625,2.015,630.0,2.56778,702.927,1434.0,5731.0,1.02,0.3479468607744946,0.40955781188945467,2.846910225242656,3.7582304084577496
1154.01,1154,PC,1,9.3188,254.924043,64.699214,21.745537,4.196,659.0,2.10208,28.2504,642.0,5704.0,0.93,1.3373701369154571,0.3226492401876642,1.4510246014143215,3.756179516843809
1187.01,1187,PC,1,9.9002,162.893176,81.322174,2.5941968,0.861,907.0,4.47229,300.014,1159.0,6389.0,1.4,0.41400291928547145,0.6505299570689479,2.4771415213226007,3.80543288813214
1207.01,1207,PC,1,9.2397,116.594329,-64.056009,2.6282553,2.0930597,75.2858004,0.9817044,955.7979966,1418.1144376,6282.0,1.10743,0.41966754886187646,-0.008019262492797384,2.980366115882958,3.798097932062486
1208.01,1208,PC,1,10.5924,30.508742,-83.227962,3.4239436,1.9601023,443.6391381,1.7581475,294.3078003,1056.3800546,5626.0,0.823019,0.5345266022637267,0.2450553074549945,2.4688017727430163,3.750199727829182
1208.02,1208,PC,2,10.5924,30.508742,-83.227962,10.983042,3.7478987,725.1724567,2.5070075,62.2119369,716.2888325,5626.0,0.823019,1.0407226443799755,0.39915563320183123,1.7938737228325776,3.750199727829182
1208.03,1208,PC,3,10.5924,30.508742,-83.227962,17.726449,3.4404719,747.7725499,2.261664,32.8605569,610.6445415,5626.0,0.823019,1.248621745518499,0.3544280852115535,1.516674919310471,3.750199727829182
1209.01,1209,PC,1,9.597,73.541918,-70.379109,40.7199388,4.2436925,355.619391,3.2352713,47.143655,668.3063106,5914.0,1.55953,1.6098071166066428,0.5099107051446319,1.6734232499065291,3.771881320190099
1211.01,1211,PC,1,9.8135,31.178933,-73.126759,18.1663644,2.464,624.0,2.80447,16.6472,562.0,5572.9,1.14,1.2592680214741818,0.4478507986318101,1.2213411971931432,3.746081250155099
1214.01,1214,PC,1,10.0329,285.049519,-84.448187,19.1807264,3.9621084,544.5602695,2.4311768,32.9407734,611.0168649,5262.4,0.937973,1.2828650504643588,0.3858165427480733,1.517733791537113,3.7211838561385795
1215.01,1215,PC,1,10.42,146.87585,-77.296816,1.2124493,0.9984653,501.2911711,0.879419,336.2098533,1092.1250255,3751.0,0.518,0.08366358711710897,-0.05580415560735539,2.526610437155541,3.574147064150723
1216.01,1216,PC,1,11.546,87.714849,-75.688563,4.5541831,7.8146963,187.8286128,0.8887417,54.8401357,694.0557871,4280.0,0.635812,0.658410487350948,-0.05122444213956882,1.7390985207653284,3.6314437690131722
1218.01,1218,PC,1,10.3869,71.484109,-68.761805,13.7738265,2.9992376,338.2166234,1.8971927,67.2831271,730.4597521,5455.96,1.01825,1.1390546081565487,0.27811144490887807,1.8279061678480344,3.736871177659611
1222.01,1222,PC,1,10.3014,99.224785,-63.079384,10.1944993,2.2648785,317.3261147,2.7392825,231.1087411,994.4291411,6082.0,1.32661,1.008365900385171,0.437636823004072,2.3638163718733276,3.7840464158081133
1225.01,1225,PC,1,11.7582,97.166308,-64.596432,13.896396,3.5885605,748.5332881,2.4586343,52.3837065,686.1495861,5522.87,0.888163,1.1429021815303189,0.39069393609817665,1.7191962244356591,3.742164820709262
1225.02,1225,PC,2,11.7582,97.166308,-64.596432,8.1213102,3.1040945,594.6443745,2.3157186,107.208941,820.6868999,5522.87,0.888163,0.9096260990353504,0.3646857839447538,2.030231006112722,3.742164820709262
